getURLnotice,getURLdraw
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Nucor constr fleet.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/nucor dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JOINT PUBLIC NOTICE_0834.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/document2011-04-15-143547.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011000797MAS.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011000797DWG.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/DR.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Eleanor Barilleaux Revised 2011-00198 PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Eleanor Barilleaux Revised 2011-00198 DWGS.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JPN-Lafourche-MattewsCanal.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Plats-Lafourche-MatthewsCanal.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/sec10PN_0710.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/11-04-01 PERMIT DWGS.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/G OBRIEN PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/G OBRIEN DWG.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/G OBRIEN PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/G OBRIEN DWG.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/TPGjpn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/TPGdwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Bayou Choupique- 2011-00824-11-11.doc,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN  Choupique Prospectus -4-11-11.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Hell Ranch 2009-02470-4-11-11.doc,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Complete prospectus for PN 4-11-11.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110860pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110860pnd.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110627pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110627pnd.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110618pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110618pnd.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100864.pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100864.dwg.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/nucor pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/nucor dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20030495jpn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20030495dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN 11-640.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/dwg 11-640.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2011-00453 pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2011-00453 dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JOINT PUBLIC NOTICE_0749.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2011-0749-EOO_dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Port N.O. PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Port N.O. DR.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/document2011-04-04-115943.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/document2011-04-04-120030.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110696pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110696pnd.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100657.pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN201100657.dwg.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/document2011-03-31-165555.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/document2011-03-31-165647.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-00718.pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-00718.dwg.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2010-02941-WMMjpn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/MVN-2010-02941-WMMdwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JPN-OUTSIDECZ-Turtle Bayou 3-29-11.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2011-00145 PN drawings.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/074248LafourchePhCouncilJPN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/074248LafourchePhCouncilDwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110287.pdf,
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110565pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110565.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/IMT PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/IMT DR.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2005-00376PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2005-00376DWGS.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2010-0295 pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/2010-0295 dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/DR.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/randy.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/randy dwgs.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN 11-0459.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/PN Drawings 11-459.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20102653pn.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20102653pnd.pdf
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110983.pdf,
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/20110948.pdf,
http://www2.mvn.usace.army.mil/ops/regulatory/pdf/JPN-C&R Rentals.pdf,http://www2.mvn.usace.army.mil/ops/regulatory/pdf/Plats-C&R Rentals.pdf
